post_id,post,in_crisis,explanation
163,"successfully baked a huge batch of cinnamon rolls completely from scratch. the cream cheese icing is literally dripping down the warm sides and my whole house smells like a bakery. definitely eating two of these right now.",FALSE,"User expressing positive sentiment, safe."
164,"saw an incredibly bright, full double rainbow on the drive to work this morning right as the sun was coming up over the hills. i usually hate mornings but that totally started my day off right.",FALSE,"User expressing positive sentiment, safe."
165,"spent the entire afternoon organizing my chaotic digital photo library. deleted thousands of random blurry screenshots and categorized all my vacation pictures into neat little albums. scratches such a deep organizational itch in my brain.",FALSE,"User expressing positive sentiment, safe."
166,"the local independent coffee shop down my street finally brought back my favorite seasonal pumpkin drink today. definitely walking down there tomorrow morning to get a large iced one as a little end-of-the-week treat.",FALSE,"User expressing positive sentiment, safe."
167,"i am officially caught up on all my laundry. every single shirt is washed, folded, and actually put away in the closet instead of sitting in the basket. my room looks so incredibly neat and peaceful right now.",FALSE,"User expressing positive sentiment, safe."
168,"had a very spontaneous game night with my roommates this evening. we played uno and it got ridiculously intense and competitive but we laughed for hours straight. so lucky to live with my best friends.",FALSE,"User expressing positive sentiment, safe."
169,"tried out a new recipe for chicken pad thai and it actually tasted exactly like the version from my favorite restaurant. super proud of myself, definitely adding this into the regular weekly dinner rotation.",FALSE,"User expressing positive sentiment, safe."
170,"woke up naturally exactly five minutes before my alarm was set to go off, feeling completely rested and ready for the day. honestly there is no better feeling than not being jolted awake by that horrible beeping sound.",FALSE,"User expressing positive sentiment, safe."
171,"got my car detailed and washed today and it is literally sparkling in the sun. currently driving it around town playing my favorite playlist with all the windows down. simple things make me so happy.",FALSE,"User expressing positive sentiment, safe."
172,"my little sister just texted me out of nowhere to tell me that im her role model and she looks up to me. i am literally trying so hard not to cry at my desk at work right now.",FALSE,"User expressing positive sentiment, safe."
173,"planted a row of sunflower seeds along the back fence a couple weeks ago and they finally sprouted today! seeing those little green leaves poking through the dirt is so exciting. can't wait until they get super tall.",FALSE,"User expressing positive sentiment, safe."
174,"just randomly discovered a new indie folk band on spotify and their entire discography is an absolute masterpiece. been listening to their albums on repeat all afternoon while working and the vibes are impeccable.",FALSE,"User expressing positive sentiment, safe."
175,"just ate a perfectly ripe, incredibly juicy peach standing right over the kitchen sink. my fingers are totally sticky but it was completely worth it. summer stone fruit is truly top tier food.",FALSE,"User expressing positive sentiment, safe."
176,"was walking past a neighborhood bakery and the smell of fresh sourdough was so good i literally had to go inside and buy a warm loaf. currently tearing off pieces and eating it plain on my walk back home.",FALSE,"User expressing positive sentiment, safe."
177,"my golden retriever was having a dream on the rug and doing those little running kicks and muffled barks in his sleep. it is the cutest thing in the world, i wonder what he's dreaming about chasing.",FALSE,"User expressing positive sentiment, safe."
178,"finally placed the very last piece into a 1000 piece puzzle that has been taking up my entire dining room table for a month. it looks amazing and i finally get my table back for actual meals!",FALSE,"User expressing positive sentiment, safe."
179,"put my hand in the pocket of a thick winter jacket i haven't worn since last year and pulled out a crisp twenty dollar bill! past me really hooked it up. treating myself to a fancy lunch today.",FALSE,"User expressing positive sentiment, safe."
180,"went to a local weekend art market and bought the most beautiful handmade ceramic mug with little blue flowers painted on it. my morning coffee routine is going to be so much more aesthetic from now on.",FALSE,"User expressing positive sentiment, safe."
181,"sitting out on the covered porch just watching a crazy thunderstorm roll through the valley. the lightning is wild and the thunder is literally shaking the house. i absolutely love weather like this, so cozy.",FALSE,"User expressing positive sentiment, safe."
182,"successfully parallel parked my car on the very first try on a super busy downtown street with a bunch of people sitting at a cafe watching me. felt like an absolute superhero stepping out of the car.",FALSE,"User expressing positive sentiment, safe."
183,"bought a bunch of cheap blank canvas boards and just went crazy making abstract shapes with some acrylic paints. it probably looks like a mess to anyone else but the process was so therapeutic and fun.",FALSE,"User expressing positive sentiment, safe."
184,"my favorite true crime podcast just dropped a surprise two-hour bonus episode today out of nowhere! definitely going to make my boring hour-long commute this evening actually enjoyable for once.",FALSE,"User expressing positive sentiment, safe."
185,"just cooked up a massive bowl of creamy stovetop mac and cheese and it hit the absolute spot after a long day. sometimes you just need some heavy carbs and dairy to make everything feel okay.",FALSE,"User expressing positive sentiment, safe."
186,"saw a really beautiful, huge luna moth resting on my window screen tonight. managed to sneak up and take some macro photos of it on my phone, the green color and patterns are just stunning to look at.",FALSE,"User expressing positive sentiment, safe."
187,"all of my indoor houseplants are absolutely thriving right now. my neon pothos has grown long vines down the entire side of my bookshelf this summer. having greenery inside really boosts my mood.",FALSE,"User expressing positive sentiment, safe."
188,"finally tried that new boba shop that opened up downtown and their brown sugar milk tea is insanely good. the boba pearls were so soft and warm. definitely adding this place to my regular rotation.",FALSE,"User expressing positive sentiment, safe."
189,"caught a shiny charizard in pokemon go today while i was waiting for the bus! i literally gasped out loud and a lady looked at me weird but i don't even care. my inner ten year old is screaming.",FALSE,"User expressing positive sentiment, safe."
190,"managed to successfully negotiate a raise at work today! i prepared a whole document of my achievements and my boss actually agreed. feeling very adult, professional, and just really proud of myself for speaking up.",FALSE,"User expressing positive sentiment, safe."
191,"took a long afternoon nap on the couch with the living room window open and a nice cool breeze blowing in. just woke up feeling completely refreshed and like a brand new person ready to tackle the evening.",FALSE,"User expressing positive sentiment, safe."
192,"just got home from a really great first date at a little italian place. we ended up talking for like three hours and the vibes were absolutely immaculate. sitting here smiling so hard at my phone right now.",FALSE,"User expressing positive sentiment, safe."
193,"my favorite fantasy author just announced a surprise new book set in my favorite universe coming out next year! i immediately went and pre-ordered the hardcover. so hyped to return to that world.",FALSE,"User expressing positive sentiment, safe."
194,"made a perfectly golden, gooey grilled cheese sandwich with thick sourdough bread and sharp cheddar. dipping it into a hot bowl of creamy tomato soup right now. absolute peak comfort meal for a rainy tuesday.",FALSE,"User expressing positive sentiment, safe."
195,"went for a peaceful walk in the woods behind my house and found a really cool looking cluster of bright red mushrooms. didn't touch them obviously, but took a really cool artsy picture for my instagram.",FALSE,"User expressing positive sentiment, safe."
196,"my manager specifically praised my latest project presentation in front of the entire department this morning. it feels really nice to have my hard work openly recognized by the leadership team. riding that high all day.",FALSE,"User expressing positive sentiment, safe."
197,"just pulled a pair of thick, fuzzy winter socks straight out of the hot dryer and put them on. pure absolute heaven on my freezing cold feet. little things like this are the best.",FALSE,"User expressing positive sentiment, safe."
198,"somehow managed to perfectly time cooking all the different parts of a huge dinner so the meat, veggies, and potatoes were all hot and ready at the exact same time. feeling like an absolute master chef tonight.",FALSE,"User expressing positive sentiment, safe."
199,"hanging out with my best friend at my apartment today, just doing absolutely nothing on the couch and scrolling tiktok together in comfortable silence. honestly this is the best kind of low energy hangout.",FALSE,"User expressing positive sentiment, safe."
200,"finally beat the incredibly difficult boss level in my game that i've been stuck on for three straight days. i literally threw my controller onto the sofa and cheered in pure victory. such a massive relief.",FALSE,"User expressing positive sentiment, safe."
201,"finally got around to changing the oil in my car by myself. saved like fifty bucks and it actually wasn't that hard. feeling super accomplished."
202,"the sunset tonight was a crazy shade of neon pink and orange. stood on my balcony for like twenty minutes just watching it fade. nature is putting on a show.",FALSE,"User expressing positive sentiment, safe."
203,"just found out my local library has an app where you can borrow audiobooks for free. my daily commute just got a hundred times better.",FALSE,"User expressing positive sentiment, safe."
204,"made a massive bowl of popcorn and rewatching the lord of the rings extended editions. arguably the best way to spend a chilly friday night indoors.",FALSE,"User expressing positive sentiment, safe."
205,"my dog finally learned how to ring the little bell on the door when he needs to go outside. we are having way fewer accidents now, he's such a smart boy.",FALSE,"User expressing positive sentiment, safe."
206,"got a fresh manicure today and went with a really bright summery coral color. looking down at my hands while i type is bringing me so much joy.",FALSE,"User expressing positive sentiment, safe."
207,"the bakery at the end of my street just started selling fresh focaccia bread. bought a huge slab covered in rosemary and sea salt. dipping it in olive oil for dinner.",FALSE,"User expressing positive sentiment, safe."
208,"woke up to the sound of birds chirping instead of my blaring alarm clock. left the window cracked last night and the morning air feels so fresh and amazing.",FALSE,"User expressing positive sentiment, safe."
209,"my indoor ferns are pushing out so many new fronds right now. i usually kill ferns so keeping this one alive and thriving is a major personal victory for me.",FALSE,"User expressing positive sentiment, safe."
210,"just bought tickets to see my favorite stand-up comedian when they come to my city next month! i've been watching their specials for years, so stoked to see them live.",FALSE,"User expressing positive sentiment, safe."
211,"finally unpacked the very last moving box in my new apartment. it's been sitting in the corner for three weeks but the place finally feels put together and like a real home.",FALSE,"User expressing positive sentiment, safe."
212,"tried making a matcha latte at home and got the milk frothed perfectly. it has those beautiful little layers just like the fancy cafes do. definitely saving money on coffee now.",FALSE,"User expressing positive sentiment, safe."
213,"went to a thrift store and found a mint condition record player for literally twenty dollars. brought it home, plugged it in, and the speakers work perfectly. what a steal.",FALSE,"User expressing positive sentiment, safe."
214,"my sibling just facetimed me to show me their new kitten. it's a tiny fluffy tuxedo cat and it was trying to attack the phone camera. my heart is melting.",FALSE,"User expressing positive sentiment, safe."
215,"cleared out my entire email inbox. replied to the important stuff, deleted all the spam, and unsubscribed from like twenty newsletters. the zero unread notification is so incredibly satisfying.",FALSE,"User expressing positive sentiment, safe."
216,"just did a 30 minute stretching routine on youtube and my lower back finally popped. the instant relief was amazing, my posture feels so much better today.",FALSE,"User expressing positive sentiment, safe."
217,"baked a fresh batch of blueberry muffins and they have those perfect crispy muffin tops. eating one right now with a giant cup of hot tea while looking out the window.",FALSE,"User expressing positive sentiment, safe."
218,"friend sent me a meme that was so funny i literally spit out my water laughing. it's so nice when someone sees something completely unhinged and immediately thinks of you.",FALSE,"User expressing positive sentiment, safe."
219,"managed to keep my white sneakers completely spotless despite walking through the city all day. used that water repellent spray last night and it worked like absolute magic.",FALSE,"User expressing positive sentiment, safe."
220,"started a new stardew valley farm today and im just focusing on making it look aesthetically pleasing instead of min-maxing the crops. having such a relaxing time just decorating.",FALSE,"User expressing positive sentiment, safe."
221,"the little family of ducks at the local pond had babies! there are like eight tiny fluffy ducklings following their mom around in a little line. it's the cutest thing ever.",FALSE,"User expressing positive sentiment, safe."
222,"finally mastered the winged eyeliner look after watching a dozen tutorials. both eyes are completely even and sharp enough to kill a man. feeling unstoppable today.",FALSE,"User expressing positive sentiment, safe."
223,"had a fantastic conversation with a completely random stranger at the bus stop today about vintage movies. really cool to just connect with people in the wild sometimes.",FALSE,"User expressing positive sentiment, safe."
224,"my grandma sent me a care package with a bunch of my favorite childhood snacks. tearing into a bag of animal crackers right now and feeling very loved.",FALSE,"User expressing positive sentiment, safe."
225,"just finished a massive deep clean of my kitchen. scrubbed the stove top until it was shiny and wiped down all the cabinets. pouring a glass of wine to celebrate a job well done.",FALSE,"User expressing positive sentiment, safe."
226,"went to the beach super early this morning just to look for seashells before the crowds showed up. found a completely intact conch shell half buried in the sand.",FALSE,"User expressing positive sentiment, safe."
227,"put clean sheets on the bed, shaved my legs, and just took a hot shower. sliding into bed right now is a sensory experience that cannot be topped. so cozy.",FALSE,"User expressing positive sentiment, safe."
228,"my favorite hoodie finally came out of the wash and it's so warm and soft. throwing it on right now because it's slightly chilly outside. perfect sweater weather.",FALSE,"User expressing positive sentiment, safe."
229,"tried a new korean skincare product last night and woke up with my skin literally glowing. it looks so hydrated and clear, definitely making this a permanent part of my routine.",FALSE,"User expressing positive sentiment, safe."
230,"just hit 10k steps for the day before it even hit noon. went for a huge morning walk with a podcast and didn't even realize how far i had gone. feeling super active.",FALSE,"User expressing positive sentiment, safe."
231,"my partner left a sticky note on the bathroom mirror telling me to have a good day at work. it's such a tiny gesture but it completely made me smile this morning.",FALSE,"User expressing positive sentiment, safe."
232,"scored front row parking right at the entrance of the grocery store on a busy weekend. pulling right in while everyone else was circling the lot felt like hitting the jackpot.",FALSE,"User expressing positive sentiment, safe."
233,"finally finished crocheting the sleeves on my sweater project. it took forever but trying it on and seeing it actually fit perfectly is the best feeling. just need to weave the ends in.",FALSE,"User expressing positive sentiment, safe."
234,"went to a local farm and picked my own strawberries today. ate like half of them on the car ride home because they were so sweet and warm from the sun.",FALSE,"User expressing positive sentiment, safe."
235,"found my absolute favorite discontinued candy bar at a random gas station on my road trip. bought their entire stock so i can savor them over the next few months.",FALSE,"User expressing positive sentiment, safe."
236,"just watched my favorite sports team pull off a crazy comeback win in the final seconds of the game. my neighbors probably hate me for screaming so loud but i don't care.",FALSE,"User expressing positive sentiment, safe."
237,"my boss brought in a huge box of donuts for the team meeting this morning. managed to snag the last maple bar before anyone else could. starting the workday off right.",FALSE,"User expressing positive sentiment, safe."
238,"spent the afternoon volunteering at the local animal shelter just playing with the cats in the socialize room. honestly it's basically free therapy, they are all so sweet.",FALSE,"User expressing positive sentiment, safe."
239,"finally organized my messy spice drawer. bought little matching glass jars and printed out cute aesthetic labels for all of them. cooking is going to be so much easier now.",FALSE,"User expressing positive sentiment, safe."
240,"sitting in a quiet cafe reading a good book while it pours rain outside the window. drinking a hot mocha and just enjoying the absolute peace and quiet of a lazy sunday.",FALSE,"User expressing positive sentiment, safe."
241,"managed to fix the weird rattling noise my PC fan was making. just had to tighten one screw. so relieved i don't have to buy a whole new cooling system.",FALSE,"User expressing positive sentiment, safe."
242,"ordered sushi for dinner and the restaurant accidentally gave me an extra spicy tuna roll for free. best takeout mistake ever, im absolutely feasting tonight.",FALSE,"User expressing positive sentiment, safe."
243,"my indoor lemon tree finally produced a lemon! it's been growing for two years and it finally has one perfect bright yellow fruit on it. so proud of this little plant.",FALSE,"User expressing positive sentiment, safe."
244,"went rollerblading along the boardwalk for the first time in years. the breeze coming off the water felt amazing and i only lost my balance once. definitely going back next weekend.",FALSE,"User expressing positive sentiment, safe."
245,"just finished a massive 500-page fantasy novel in a single weekend. the story was so gripping i literally couldn't put it down. still reeling from that crazy plot twist at the end.",FALSE,"User expressing positive sentiment, safe."
246,"took my car through the automatic car wash and it always makes me feel like a kid in a spaceship with all the colorful soap and spinning brushes. cheap thrills lol.",FALSE,"User expressing positive sentiment, safe."
247,"cooked a huge steak dinner for my parents for their anniversary tonight. they absolutely loved it and said it was better than a restaurant. feels good to treat them for once.",FALSE,"User expressing positive sentiment, safe."
248,"finally got my driver's license today! passed the road test on the first try and the examiner said i did a great job parallel parking. freedom here i come.",FALSE,"User expressing positive sentiment, safe."
249,"spent the evening sketching in the park and a little kid came up and told me i draw really good. totally made my week, kids are so brutally honest so i know they meant it.",FALSE,"User expressing positive sentiment, safe."
250,"closing my laptop right now for a two week paid vacation. no emails, no alarms, no stress. just pure relaxation mode engaged. life is very, very good.",FALSE,"User expressing positive sentiment, safe."
